ID,data,data_dados,confirmados,confirmados_arsnorte,confirmados_arscentro,confirmados_arslvt,confirmados_arsalentejo,confirmados_arsalgarve,confirmados_acores,confirmados_madeira,confirmados_estrangeiro,confirmados_novos,recuperados,obitos,internados,internados_uci,lab,suspeitos,vigilancia,n_confirmados,cadeias_transmissao,transmissao_importada,confirmados_0_9_f,confirmados_0_9_m,confirmados_10_19_f,confirmados_10_19_m,confirmados_20_29_f,confirmados_20_29_m,confirmados_30_39_f,confirmados_30_39_m,confirmados_40_49_f,confirmados_40_49_m,confirmados_50_59_f,confirmados_50_59_m,confirmados_60_69_f,confirmados_60_69_m,confirmados_70_79_f,confirmados_70_79_m,confirmados_80_plus_f,confirmados_80_plus_m,sintomas_tosse,sintomas_febre,sintomas_dificuldade_respiratoria,sintomas_cefaleia,sintomas_dores_musculares,sintomas_fraqueza_generalizada,confirmados_f,confirmados_m,obitos_arsnorte,obitos_arscentro,obitos_arslvt,obitos_arsalentejo,obitos_arsalgarve,obitos_acores,obitos_madeira,obitos_estrangeiro,recuperados_arsnorte,recuperados_arscentro,recuperados_arslvt,recuperados_arsalentejo,recuperados_arsalgarve,recuperados_acores,recuperados_madeira,recuperados_estrangeiro,obitos_0_9_f,obitos_0_9_m,obitos_10_19_f,obitos_10_19_m,obitos_20_29_f,obitos_20_29_m,obitos_30_39_f,obitos_30_39_m,obitos_40_49_f,obitos_40_49_m,obitos_50_59_f,obitos_50_59_m,obitos_60_69_f,obitos_60_69_m,obitos_70_79_f,obitos_70_79_m,obitos_80_plus_f,obitos_80_plus_m,obitos_f,obitos_m,confirmados_desconhecidos_m,confirmados_desconhecidos_f,ativos,internados_enfermaria,confirmados_desconhecidos,incidencia_nacional,incidencia_continente,rt_nacional,rt_continente
500,09/07/2021,09/07/2021 00:00,902489,351662,124111,351764,31651,26780,6466,10055,,3194,842024,17142,617,141,,,71318,,,,25035,26224,43381,43024,70288,63646,70711,61015,82971,66883,73150,57857,46729,42771,30430,27159,47119,23576,,,,,,,489814,412155,5374,3029,7296,973,366,34,70,,,,,,,,,,1,1,1,1,5,7,20,24,63,93,136,338,468,1074,1360,2302,6086,5162,8140,9002,,,43323,476,520,272,280.5,1.18,1.19
501,10/07/2021,10/07/2021 00:00,905651,352709,124362,353171,31726,27100,6519,10064,,3162,844497,17148,632,144,,,72635,,,,25201,26369,43634,43259,70654,64058,70983,61301,83233,67098,73310,57994,46792,42833,30474,27190,47153,23589,,,,,,,491434,413691,5374,3030,7299,973,368,34,70,,,,,,,,,,1,1,1,1,5,7,20,24,63,93,136,339,468,1075,1361,2305,6086,5162,8141,9007,,,44006,488,526,272,280.5,1.18,1.19
502,11/07/2021,11/07/2021 00:00,907974,353402,124588,354229,31790,27342,6550,10073,,2323,845516,17156,672,153,,,73762,,,,25328,26474,43820,43445,70942,64339,71180,61514,83416,67266,73410,58070,46845,42894,30506,27214,47172,23595,,,,,,,492619,414811,5374,3030,7305,974,369,34,70,,,,,,,,,,1,1,1,1,5,7,20,24,63,93,136,339,470,1076,1363,2305,6087,5164,8146,9010,,,45302,519,544,272,280.5,1.18,1.19
503,12/07/2021,12/07/2021 00:00,909756,353938,124675,355093,31828,27544,6590,10088,,1782,846544,17164,729,163,,,74899,,,,25416,26575,43947,43564,71143,64567,71353,61709,83536,67407,73493,58140,46893,42918,30534,27229,47191,23600,,,,,,,493506,415709,5376,3032,7308,974,370,34,70,,,,,,,,,,1,1,1,1,5,7,20,24,63,93,136,339,470,1076,1363,2307,6089,5168,8148,9016,,,46048,566,541,315.6,325.2,1.16,1.16
504,13/07/2021,13/07/2021 00:00,912406,354877,124951,356234,31878,27764,6598,10104,,2650,850034,17173,742,161,,,76360,,,,25539,26682,44111,43701,71469,64964,71572,61955,83749,67628,73603,58252,46967,42975,30571,27258,47218,23616,,,,,,,494799,417031,5377,3032,7314,976,370,34,70,,,,,,,,,,1,1,1,1,5,7,20,25,63,93,136,339,471,1077,1366,2309,6090,5168,8153,9020,,,45199,581,576,315.6,325.2,1.16,1.16
505,14/07/2021,14/07/2021 00:00,916559,356182,125267,358162,31980,28205,6640,10123,,4153,852269,17182,734,171,,,77682,,,,25728,26882,44404,43987,71988,65534,71926,62342,84079,67933,73764,58382,47067,43057,30641,27321,47280,23645,,,,,,,496877,419083,5377,3034,7321,976,370,34,70,,,,,,,,,,1,1,1,1,5,7,20,25,63,93,137,339,472,1077,1368,2310,6092,5170,8159,9023,,,47108,563,599,336.3,346.5,1.14,1.15
506,15/07/2021,15/07/2021 00:00,920200,357491,125563,359671,32077,28569,6680,10149,,3641,854537,17187,774,174,,,78681,,,,25889,27064,44685,44241,72409,66039,72217,62705,84396,68174,73916,58514,47163,43153,30690,27367,47308,23663,,,,,,,498673,420920,5377,3034,7325,976,371,34,70,,,,,,,,,,1,1,1,1,5,7,20,25,63,93,137,339,472,1077,1368,2311,6095,5171,8162,9025,,,48476,600,607,336.3,346.5,1.14,1.15
507,16/07/2021,16/07/2021 00:00,923747,358796,125867,361131,32182,28871,6730,10170,,3547,857108,17194,778,171,,,79625,,,,26043,27228,44938,44479,72844,66515,72537,63078,84655,68424,74074,58657,47241,43212,30750,27415,47351,23696,,,,,,,500433,422704,5379,3034,7328,976,373,34,70,,,,,,,,,,1,1,1,1,5,7,20,25,63,93,138,339,472,1078,1370,2311,6096,5173,8166,9028,,,49445,607,610,355.5,366.7,1.12,1.13
508,17/07/2021,17/07/2021 00:00,927424,359978,126186,362712,32286,29278,6771,10213,,3677,860449,17199,780,173,,,79711,,,,26197,27388,45192,44746,73325,66964,72894,63417,84953,68671,74238,58815,47345,43284,30804,27460,47386,23716,,,,,,,502334,424461,5379,3035,7331,976,374,34,70,,,,,,,,,,1,1,1,1,5,7,20,25,63,93,138,339,472,1078,1370,2312,6100,5173,8170,9029,,,49776,607,629,355.5,366.7,1.12,1.13
509,18/07/2021,18/07/2021 00:00,930685,361285,126433,363991,32403,29537,6814,10222,,3261,861707,17207,805,176,,,79710,,,,26358,27565,45417,44971,73696,67418,73187,63699,85207,68889,74407,58939,47424,43353,30844,27510,47429,23742,,,,,,,503969,426086,5381,3035,7336,976,375,34,70,,,,,,,,,,1,1,1,1,5,7,20,25,63,94,138,339,473,1079,1371,2312,6102,5175,8174,9033,,,51771,629,630,355.5,366.7,1.12,1.13
