ID,data,data_dados,confirmados,confirmados_arsnorte,confirmados_arscentro,confirmados_arslvt,confirmados_arsalentejo,confirmados_arsalgarve,confirmados_acores,confirmados_madeira,confirmados_estrangeiro,confirmados_novos,recuperados,obitos,internados,internados_uci,lab,suspeitos,vigilancia,n_confirmados,cadeias_transmissao,transmissao_importada,confirmados_0_9_f,confirmados_0_9_m,confirmados_10_19_f,confirmados_10_19_m,confirmados_20_29_f,confirmados_20_29_m,confirmados_30_39_f,confirmados_30_39_m,confirmados_40_49_f,confirmados_40_49_m,confirmados_50_59_f,confirmados_50_59_m,confirmados_60_69_f,confirmados_60_69_m,confirmados_70_79_f,confirmados_70_79_m,confirmados_80_plus_f,confirmados_80_plus_m,sintomas_tosse,sintomas_febre,sintomas_dificuldade_respiratoria,sintomas_cefaleia,sintomas_dores_musculares,sintomas_fraqueza_generalizada,confirmados_f,confirmados_m,obitos_arsnorte,obitos_arscentro,obitos_arslvt,obitos_arsalentejo,obitos_arsalgarve,obitos_acores,obitos_madeira,obitos_estrangeiro,recuperados_arsnorte,recuperados_arscentro,recuperados_arslvt,recuperados_arsalentejo,recuperados_arsalgarve,recuperados_acores,recuperados_madeira,recuperados_estrangeiro,obitos_0_9_f,obitos_0_9_m,obitos_10_19_f,obitos_10_19_m,obitos_20_29_f,obitos_20_29_m,obitos_30_39_f,obitos_30_39_m,obitos_40_49_f,obitos_40_49_m,obitos_50_59_f,obitos_50_59_m,obitos_60_69_f,obitos_60_69_m,obitos_70_79_f,obitos_70_79_m,obitos_80_plus_f,obitos_80_plus_m,obitos_f,obitos_m,confirmados_desconhecidos_m,confirmados_desconhecidos_f,ativos,internados_enfermaria,confirmados_desconhecidos,incidencia_nacional,incidencia_continente,rt_nacional,rt_continente
300,21/12/2020,21/12/2020 00:00,376220,194910,41243,121435,9173,6623,1581,1255,,2099,299603,6191,3158,502,,,85149,,,,9734,10110,17171,16774,30974,27076,30799,25576,35309,27132,31235,23865,18952,17452,12599,11132,20361,9832,,,,,,,207134,168949,2926,872,2130,169,64,21,9,,,,,,,,,,1,0,1,1,3,2,6,6,19,36,46,115,146,366,473,785,2273,1912,2968,3223,,,70426,2656,137,,,,
301,22/12/2020,22/12/2020 00:00,378656,195957,41671,122074,9405,6661,1594,1294,,2436,304825,6254,3095,508,,,86334,,,,9778,10176,17272,16869,31164,27212,31002,25713,35539,27317,31454,24021,19098,17593,12673,11218,20504,9916,,,,,,,208484,170035,2941,889,2156,173,64,21,10,,,,,,,,,,1,0,1,1,3,2,6,6,19,38,48,115,148,366,477,794,2293,1936,2996,3258,,,67577,2587,137,,,,
302,23/12/2020,23/12/2020 00:00,383258,197768,42462,123541,9727,6812,1616,1332,,4602,308446,6343,2990,511,,,87043,,,,9888,10321,17455,17074,31483,27502,31358,25997,35959,27668,31844,24329,19320,17834,12855,11373,20807,10054,,,,,,,210969,172152,2973,903,2196,176,64,21,10,,,,,,,,,,1,0,1,1,3,2,6,6,19,38,49,116,148,369,484,809,2333,1958,3044,3299,,,68469,2479,137,,,,
303,24/12/2020,24/12/2020 00:00,387636,199720,43272,124812,9927,6906,1633,1366,,4378,312533,6413,2853,505,,,88978,,,,9998,10470,17625,17277,31800,27793,31675,26265,36360,27980,32177,24630,19583,18054,13039,11524,21083,10165,,,,,,,213340,174158,3001,916,2220,180,64,21,11,,,,,,,,,,1,0,1,1,3,2,6,6,20,38,49,117,150,373,490,818,2361,1977,3081,3332,,,68690,2348,138,,,,
304,25/12/2020,25/12/2020 00:00,391782,201417,43892,126275,10128,7031,1662,1377,,4146,315126,6478,2754,504,,,90093,,,,10127,10607,17810,17451,32090,28039,32006,26525,36766,28287,32519,24895,19789,18268,13195,11670,21319,10281,,,,,,,215621,176023,3030,926,2243,183,64,21,11,,,,,,,,,,1,0,1,1,3,2,6,6,20,38,50,120,151,377,494,825,2380,2003,3106,3372,,,70178,2250,138,,,,
305,26/12/2020,26/12/2020 00:00,392996,201868,44040,126713,10213,7074,1683,1405,,1214,316671,6556,2790,513,,,90318,,,,10160,10634,17866,17508,32184,28119,32088,26596,36870,28383,32614,24986,19854,18346,13243,11706,21373,10328,,,,,,,216252,176606,3060,934,2275,190,65,21,11,,,,,,,,,,1,0,1,1,3,2,6,6,20,38,50,122,151,383,501,831,2413,2027,3146,3410,,,69769,2277,138,,,,
306,27/12/2020,27/12/2020 00:00,394573,202585,44319,127177,10245,7112,1693,1442,,1577,319746,6619,2870,504,,,92069,,,,10196,10688,17925,17578,32292,28215,32210,26696,37023,28520,32747,25099,19948,18421,13305,11753,21438,10381,,,,,,,217084,177351,3083,945,2299,194,65,21,12,,,,,,,,,,1,0,1,1,3,2,6,6,20,38,50,122,152,388,507,843,2435,2044,3175,3444,,,68208,2366,138,,,,
307,28/12/2020,28/12/2020 00:00,396666,203492,44615,127846,10346,7169,1722,1476,,2093,321682,6677,2967,503,,,93136,,,,10239,10741,18028,17669,32457,28355,32371,26823,37215,28682,32921,25244,20042,18538,13395,11826,21545,10436,,,,,,,218213,178314,3102,959,2319,196,68,21,12,,,,,,,,,,1,0,1,1,3,2,6,6,20,38,51,123,153,392,512,847,2454,2067,3201,3476,,,68307,2464,139,,,,
308,29/12/2020,29/12/2020 00:00,400002,204986,45243,128841,10398,7259,1749,1526,,3336,327794,6751,2930,486,,,91141,,,,10324,10812,18145,17806,32723,28621,32627,27065,37516,28957,33210,25478,20234,18729,13503,11946,21674,10493,,,,,,,219956,179907,3126,968,2352,202,69,22,12,,,,,,,,,,1,0,1,1,3,3,6,6,20,38,52,125,155,396,516,862,2480,2086,3234,3517,,,65457,2444,139,,,,
309,30/12/2020,30/12/2020 00:00,406051,207376,46306,130938,10599,7479,1796,1557,,6049,331016,6830,2896,487,,,91090,,,,10487,10944,18439,18082,33195,29030,33135,27509,38101,29400,33693,25490,20522,19015,13714,12111,21943,10647,,,,,,,223229,182678,3157,980,2377,211,71,22,12,,,,,,,,,,1,0,1,1,3,3,6,6,20,38,53,125,159,397,521,870,2513,2113,3277,3553,,,68205,2409,144,,,,
